workload_nops,threads,lock,iterations,run_idx,time_ms_normalized_to_1m_iters
16,4,ttas,1000000,3,39.418000
16,4,ttas,1000000,4,29.870000
16,4,ttas,1000000,5,31.495000
16,4,ttas,1000000,6,30.463000
16,4,mcs,1000000,0,404.186000
16,4,mcs,1000000,1,401.376000
16,4,mcs,1000000,2,416.028000
16,4,mcs,1000000,3,419.279000
16,4,mcs,1000000,4,415.352000
16,4,mcs,1000000,5,402.298000
16,4,mcs,1000000,6,413.516000
16,4,pspin,1000000,0,381.866000
16,4,pspin,1000000,1,307.350000
16,4,pspin,1000000,2,290.972000
16,4,pspin,1000000,3,371.864000
16,4,pspin,1000000,4,293.937000
16,4,pspin,1000000,5,281.787000
16,4,pspin,1000000,6,322.258000
16,8,ttas,1000000,0,108.573000
16,8,ttas,1000000,1,132.707000
16,8,ttas,1000000,2,214.074000
16,8,ttas,1000000,3,100.051000
16,8,ttas,1000000,4,177.952000
16,8,ttas,1000000,5,113.144000
16,8,ttas,1000000,6,125.294000
16,8,pspin,1000000,0,1173.529000
16,8,pspin,1000000,1,1171.765000
16,8,pspin,1000000,2,1233.931000
16,8,pspin,1000000,3,1229.003000
16,8,pspin,1000000,4,1251.049000
16,8,pspin,1000000,5,1237.457000
16,8,pspin,1000000,6,1265.946000
32,1,ttas,1000000,0,6.437000
32,1,ttas,1000000,1,6.312000
32,1,ttas,1000000,2,6.973000
32,1,ttas,1000000,3,6.397000
32,1,ttas,1000000,4,6.631000
32,1,ttas,1000000,5,6.357000
32,1,ttas,1000000,6,6.805000
32,1,mcs,1000000,0,13.400000
32,1,mcs,1000000,1,13.860000
32,1,mcs,1000000,2,14.180000
32,1,mcs,1000000,3,13.541000
32,1,mcs,1000000,4,13.712000
32,1,mcs,1000000,5,13.360000
32,1,mcs,1000000,6,13.946000
32,1,pspin,1000000,0,8.948000
32,1,pspin,1000000,1,8.905000
32,1,pspin,1000000,2,9.439000
32,1,pspin,1000000,3,8.852000
32,1,pspin,1000000,4,9.157000
32,1,pspin,1000000,5,9.540000
32,1,pspin,1000000,6,8.760000
32,2,ttas,1000000,0,18.996000
32,2,ttas,1000000,1,17.657000
32,2,ttas,1000000,2,13.864000
32,2,ttas,1000000,3,17.041000
32,2,ttas,1000000,4,18.222000
32,2,ttas,1000000,5,16.244000
32,2,ttas,1000000,6,17.792000
32,2,mcs,1000000,0,225.873000
32,2,mcs,1000000,1,206.143000
32,2,mcs,1000000,2,207.405000
32,2,mcs,1000000,3,231.304000
32,2,mcs,1000000,4,217.825000
32,2,mcs,1000000,5,215.813000
32,2,mcs,1000000,6,231.744000
32,2,pspin,1000000,0,78.480000
32,2,pspin,1000000,1,96.708000
32,2,pspin,1000000,2,94.220000
32,2,pspin,1000000,3,103.996000
32,2,pspin,1000000,4,91.257000
32,2,pspin,1000000,5,95.978000
32,2,pspin,1000000,6,128.867000
32,4,ttas,1000000,0,45.102000
32,4,ttas,1000000,1,42.677000
32,4,ttas,1000000,2,37.273000
32,4,ttas,1000000,3,48.308000
32,4,ttas,1000000,4,57.185000
32,4,ttas,1000000,5,38.638000
32,4,ttas,1000000,6,52.124000
32,4,mcs,1000000,0,361.580000
32,4,mcs,1000000,1,348.834000
32,4,mcs,1000000,2,349.996000
32,4,mcs,1000000,3,350.864000
32,4,mcs,1000000,4,348.322000
32,4,mcs,1000000,5,347.675000
32,4,mcs,1000000,6,368.299000
32,4,pspin,1000000,0,292.097000
32,4,pspin,1000000,1,289.579000
32,4,pspin,1000000,2,318.532000
32,4,pspin,1000000,3,284.346000
32,4,pspin,1000000,4,348.255000
32,4,pspin,1000000,5,350.216000
32,4,pspin,1000000,6,271.883000
32,8,ttas,1000000,0,203.549000
32,8,ttas,1000000,1,218.704000
32,8,ttas,1000000,2,183.743000
32,8,ttas,1000000,3,221.774000
32,8,ttas,1000000,4,187.047000
32,8,ttas,1000000,5,206.846000
32,8,ttas,1000000,6,208.515000
32,8,pspin,1000000,0,1405.893000
32,8,pspin,1000000,1,1216.928000
32,8,pspin,1000000,2,1351.048000
32,8,pspin,1000000,3,1206.808000
32,8,pspin,1000000,4,1134.660000
32,8,pspin,1000000,5,1266.878000
32,8,pspin,1000000,6,1100.597000
64,1,ttas,1000000,0,10.017000
64,1,ttas,1000000,1,10.146000
64,1,ttas,1000000,2,9.595000
64,1,ttas,1000000,3,9.625000
64,1,ttas,1000000,4,9.481000
64,1,ttas,1000000,5,9.990000
64,1,ttas,1000000,6,10.339000
64,1,mcs,1000000,0,14.284000
64,1,mcs,1000000,1,13.551000
64,1,mcs,1000000,2,13.591000
64,1,mcs,1000000,3,13.427000
64,1,mcs,1000000,4,14.528000
64,1,mcs,1000000,5,13.446000
64,1,mcs,1000000,6,15.037000
64,1,pspin,1000000,0,10.902000
64,1,pspin,1000000,1,10.211000
64,1,pspin,1000000,2,10.325000
64,1,pspin,1000000,3,10.208000
64,1,pspin,1000000,4,10.277000
64,1,pspin,1000000,5,10.782000
64,1,pspin,1000000,6,10.936000
64,2,ttas,1000000,0,24.458000
64,2,ttas,1000000,1,25.282000
64,2,ttas,1000000,2,23.087000
64,2,ttas,1000000,3,27.308000
64,2,ttas,1000000,4,29.530000
64,2,ttas,1000000,5,21.471000
64,2,ttas,1000000,6,25.289000
64,2,mcs,1000000,0,204.775000
64,2,mcs,1000000,1,168.162000
64,2,mcs,1000000,2,166.335000
64,2,mcs,1000000,3,193.660000
64,2,mcs,1000000,4,205.936000
64,2,mcs,1000000,5,181.289000
64,2,mcs,1000000,6,221.831000
64,2,pspin,1000000,0,99.872000
64,2,pspin,1000000,1,74.920000
64,2,pspin,1000000,2,76.516000
64,2,pspin,1000000,3,69.619000
64,2,pspin,1000000,4,79.130000
64,2,pspin,1000000,5,70.498000
64,2,pspin,1000000,6,73.611000
64,4,ttas,1000000,0,72.773000
64,4,ttas,1000000,1,71.358000
64,4,ttas,1000000,2,74.328000
64,4,ttas,1000000,3,93.518000
64,4,ttas,1000000,4,66.246000
64,4,ttas,1000000,5,73.418000
64,4,ttas,1000000,6,70.665000
64,4,mcs,1000000,0,357.433000
64,4,mcs,1000000,1,354.460000
64,4,mcs,1000000,2,356.209000
64,4,mcs,1000000,3,351.154000
64,4,mcs,1000000,4,354.240000
64,4,mcs,1000000,5,354.564000
64,4,mcs,1000000,6,367.577000
64,4,pspin,1000000,0,293.327000
64,4,pspin,1000000,1,326.402000
64,4,pspin,1000000,2,287.085000
64,4,pspin,1000000,3,360.540000
64,4,pspin,1000000,4,355.533000
64,4,pspin,1000000,5,306.657000
64,4,pspin,1000000,6,255.724000
64,8,ttas,1000000,0,379.175000
64,8,ttas,1000000,1,269.345000
64,8,ttas,1000000,2,335.421000
64,8,ttas,1000000,3,294.291000
64,8,ttas,1000000,4,345.242000
64,8,ttas,1000000,5,314.293000
64,8,ttas,1000000,6,309.388000
64,8,pspin,1000000,0,1372.771000
64,8,pspin,1000000,1,1196.390000
64,8,pspin,1000000,2,1000.867000
64,8,pspin,1000000,3,1208.519000
64,8,pspin,1000000,4,996.163000
64,8,pspin,1000000,5,1128.723000
64,8,pspin,1000000,6,1269.174000
128,1,ttas,1000000,0,24.614000
128,1,ttas,1000000,1,23.967000
128,1,ttas,1000000,2,23.228000
128,1,ttas,1000000,3,23.705000
128,1,ttas,1000000,4,23.298000
128,1,ttas,1000000,5,23.724000
128,1,ttas,1000000,6,23.167000
128,1,mcs,1000000,0,28.375000
128,1,mcs,1000000,1,28.503000
128,1,mcs,1000000,2,27.252000
128,1,mcs,1000000,3,28.227000
128,1,mcs,1000000,4,28.195000
128,1,mcs,1000000,5,26.753000
128,1,mcs,1000000,6,28.010000
128,1,pspin,1000000,0,26.181000
128,1,pspin,1000000,1,25.313000
128,1,pspin,1000000,2,25.039000
128,1,pspin,1000000,3,25.778000
128,1,pspin,1000000,4,25.549000
128,1,pspin,1000000,5,24.904000
128,1,pspin,1000000,6,24.849000
128,2,ttas,1000000,0,48.054000
128,2,ttas,1000000,1,53.600000
128,2,ttas,1000000,2,49.234000
128,2,ttas,1000000,3,49.497000
128,2,ttas,1000000,4,52.076000
128,2,ttas,1000000,5,69.727000
128,2,ttas,1000000,6,47.654000
128,2,mcs,1000000,0,152.321000
128,2,mcs,1000000,1,144.264000
128,2,mcs,1000000,2,146.435000
128,2,mcs,1000000,3,136.018000
128,2,mcs,1000000,4,150.379000
128,2,mcs,1000000,5,137.411000
128,2,mcs,1000000,6,144.916000
128,2,pspin,1000000,0,75.933000
128,2,pspin,1000000,1,97.960000
128,2,pspin,1000000,2,71.257000
128,2,pspin,1000000,3,71.315000
128,2,pspin,1000000,4,107.051000
128,2,pspin,1000000,5,110.797000
128,2,pspin,1000000,6,112.524000
128,4,ttas,1000000,0,162.427000
128,4,ttas,1000000,1,186.538000
128,4,ttas,1000000,2,172.349000
128,4,ttas,1000000,3,160.637000
128,4,ttas,1000000,4,202.482000
128,4,ttas,1000000,5,198.184000
128,4,ttas,1000000,6,172.361000
128,4,mcs,1000000,0,370.467000
128,4,mcs,1000000,1,367.841000
128,4,mcs,1000000,2,379.898000
128,4,mcs,1000000,3,355.889000
128,4,mcs,1000000,4,360.056000
128,4,mcs,1000000,5,371.602000
128,4,mcs,1000000,6,389.212000
128,4,pspin,1000000,0,234.927000
128,4,pspin,1000000,1,240.183000
128,4,pspin,1000000,2,205.038000
128,4,pspin,1000000,3,220.249000
128,4,pspin,1000000,4,210.531000
128,4,pspin,1000000,5,205.416000
128,4,pspin,1000000,6,230.045000
128,8,ttas,1000000,0,836.653000
128,8,ttas,1000000,1,813.124000
128,8,ttas,1000000,2,773.224000
128,8,ttas,1000000,3,546.405000
128,8,ttas,1000000,4,776.693000
128,8,ttas,1000000,5,770.464000
128,8,ttas,1000000,6,796.620000
128,8,pspin,1000000,0,828.280000
128,8,pspin,1000000,1,925.641000
128,8,pspin,1000000,2,903.172000
128,8,pspin,1000000,3,763.025000
128,8,pspin,1000000,4,805.608000
128,8,pspin,1000000,5,961.272000
128,8,pspin,1000000,6,925.699000
256,1,ttas,1000000,0,40.259000
256,1,ttas,1000000,1,40.614000
256,1,ttas,1000000,2,38.653000
256,1,ttas,1000000,3,41.019000
256,1,ttas,1000000,4,38.131000
256,1,ttas,1000000,5,39.995000
256,1,ttas,1000000,6,40.062000
256,1,mcs,1000000,0,44.368000
256,1,mcs,1000000,1,43.876000
256,1,mcs,1000000,2,41.733000
256,1,mcs,1000000,3,42.671000
256,1,mcs,1000000,4,42.387000
256,1,mcs,1000000,5,42.629000
256,1,mcs,1000000,6,42.086000
256,1,pspin,1000000,0,40.868000
256,1,pspin,1000000,1,43.215000
256,1,pspin,1000000,2,40.220000
256,1,pspin,1000000,3,41.241000
256,1,pspin,1000000,4,40.401000
256,1,pspin,1000000,5,42.173000
256,1,pspin,1000000,6,42.060000
256,2,ttas,1000000,0,98.141000
256,2,ttas,1000000,1,104.324000
256,2,ttas,1000000,2,106.292000
256,2,ttas,1000000,3,84.568000
256,2,ttas,1000000,4,95.017000
256,2,ttas,1000000,5,88.277000
256,2,ttas,1000000,6,83.034000
256,2,mcs,1000000,0,194.202000
256,2,mcs,1000000,1,207.532000
256,2,mcs,1000000,2,201.601000
256,2,mcs,1000000,3,212.696000
256,2,mcs,1000000,4,194.847000
256,2,mcs,1000000,5,192.805000
256,2,mcs,1000000,6,178.856000
256,2,pspin,1000000,0,109.756000
256,2,pspin,1000000,1,102.133000
256,2,pspin,1000000,2,112.462000
256,2,pspin,1000000,3,110.205000
256,2,pspin,1000000,4,107.136000
256,2,pspin,1000000,5,104.069000
256,2,pspin,1000000,6,97.942000
256,4,ttas,1000000,0,250.142000
256,4,ttas,1000000,1,262.184000
256,4,ttas,1000000,2,215.943000
256,4,ttas,1000000,3,222.129000
256,4,ttas,1000000,4,238.309000
256,4,ttas,1000000,5,211.564000
256,4,ttas,1000000,6,230.326000
256,4,mcs,1000000,0,441.816000
256,4,mcs,1000000,1,447.412000
256,4,mcs,1000000,2,436.866000
256,4,mcs,1000000,3,445.422000
256,4,mcs,1000000,4,442.221000
256,4,mcs,1000000,5,453.870000
256,4,mcs,1000000,6,446.752000
256,4,pspin,1000000,0,293.285000
256,4,pspin,1000000,1,276.906000
256,4,pspin,1000000,2,273.527000
256,4,pspin,1000000,3,282.558000
256,4,pspin,1000000,4,277.290000
256,4,pspin,1000000,5,287.500000
256,4,pspin,1000000,6,287.256000
256,8,ttas,1000000,0,1075.592000
